Pi ,x0,y0,x1,y1,out_w,out_h,notes
pi01,157,98,916,1047,759,949,
pi02,140,90,930,985,790,895,
pi03,165,110,890,1030,725,920,
pi04,100,60,850,920,750,860,skewed
pi05,170,160,890,1040,720,880,
pi06,210,150,900,1000,690,850,
pi07,190,80,890,980,700,900,
pi08,160,150,870,1010,710,860,
pi09,200,140,880,1005,680,865,no fish
pi10,160,130,830,1000,670,870,splashy
pi11,160,110,885,1005,725,895,
pi12,160,110,885,1005,725,895,
pi13,175,65,930,1030,755,965,
pi14,160,110,885,1005,725,895,
pi15,190,60,910,960,720,900,
pi16,160,110,885,1005,725,895,
pi17,140,135,855,1050,715,915,
pi18,160,110,885,1005,725,895,
pi19,80,125,855,1025,775,900,Wonky-glare
pi20,160,110,885,1005,725,895,
pi21,170,125,875,1015,705,890,glare
pi22,160,110,885,1005,725,895,
pi23,160,110,885,1005,725,895,
